item_name,brand,price,seller_score,savings,has_units_sold,units_sold,watching
Hamilton Mens H78585333 Khaki Navy BelowZero Black Dial Watch,Hamilton,1135.99,8669,38,TRUE,1,17
Tag Heuer Aquaracer Black Dial Stainless Steel Mens Watch WAY111ABA0928,Tag Heuer,1192.99,8669,25,TRUE,1,11
Rado Centrix Steel Automatic Brown Leather Mens Watch  R30179105,Rado,1356.99,8669,24,FALSE,0,47
Montblanc Timewalker Mens 42mm Automatic Black Leather Date Watch 110337,Montblanc,1894.25,8669,24,FALSE,0,47
MONTBLANC MENS 4810 405MM ALLIGATOR LEATHER BAND AUTOMATIC WATCH 114853,Montblanc,1750.34,8669,24,FALSE,0,47
Tag Heuer Carrera Grey Dial Stainless Steel Mens Watch WAR211CBA0782,Heuer,1649.99,8669,31,FALSE,0,21
New Tag Heuer Carrera Chronograph DayDate Automatic Mens Watch CV2A10FC6235,Tag Heuer,3280.0,4703,33,FALSE,0,10
Tag Heuer Formula 1 Mens Swiss Automatic Chronograph Watch CAU2011BA0873,Tag Heuer,2190.0,4703,33,FALSE,0,10
New Tag Heuer Formula 1 Quartz Chronograph Mens Watch CAU111DFT6024,Tag Heuer,1370.0,4703,36,TRUE,1,8
New Omega Speedmaster Professional Moonwatch Mens Watch 3113342300,Omega,3240.0,4703,37,FALSE,0,55
NEW Tag Heuer Aquaracer Mens Automatic Watch  WAY211AFC6362,TAG Heuer,1575.0,4703,37,FALSE,0,55
Mens Rolex Submariner Date 18k Yellow Gold & Steel Watch Blue Dial Bezel 16613,Rolex,6949.98,4703,37,FALSE,0,55
Mens Rolex 36mm DateJust Diamond Watch Oyster Steel Band Custom Black Dial 2 CT,Rolex,3799.99,4703,37,FALSE,0,55
New Tag Heuer Formula 1 Automatic Mens Watch CAZ2010BA0876,Tag Heuer,1795.0,4703,35,FALSE,0,61
NEW Tag Heuer Formula 1 Mens Automatic Watch  WAZ211ABA0875,TAG Heuer,1299.0,4703,35,FALSE,0,61
New Omega Seamaster CoAxial Chronograph Mens Watch 2123044500,Omega,3795.0,4703,36,TRUE,1,15
Fortis Aeromaster SuperLumiNova  Automatic Mens Watch Chronograph 6561010 M,Fortis,1399.0,4703,36,TRUE,1,15
Oris Mens Aquis Date Blue Dial Stainless Steel Automatic Watch 73376534155MB,Oris,1027.0,4703,36,TRUE,1,15
Panerai Luminor 1950 Marina Black Dial Automatic Mens Watch PAM00312 New in Box,Panerai,5775.0,4703,36,TRUE,1,15
Victorinox Swiss Army Alpnach Mens Chronograph Black Fabric Strap Watch 241528,Victorinox Swiss Army,1388.0,4703,36,TRUE,1,15
New Cartier Tank Solo Automatic Steel Mens Watch W5200028,Cartier,3035.0,4703,17,FALSE,0,10
New Tudor Heritage Ranger on Leather Strap Mens Watch 799100002,Tudor,2250.0,4703,20,FALSE,0,7
New Chopard Mille Miglia GTS Chronograph Mens Watch 1585713001,Chopard,5530.0,4703,38,FALSE,0,1
New Tag Heuer Carrera Heritage Automatic Mens Watch WAS2110FC6180,Tag Heuer,2170.0,4703,31,FALSE,0,8
Oris Mens Divers 65 Black Dial Stainless Steel Automatic Watch 73377074064MB,Oris,1144.0,4703,31,FALSE,0,8
Hamilton Jazzmaster Chronograph Automatic Black Dial Mens Watch H32596131,Hamilton,1093.99,8669,38,FALSE,0,6
NEW Tag Heuer Carrera Twin Time Mens Automatic Watch  WAR2012BA0723,TAG Heuer,1799.0,8669,38,FALSE,0,6
New Longines Conquest Classic Chronograph Stainless Steel Mens Watch L27864566,Longines,1945.0,127,0,FALSE,0,5
Mens Rolex Datejust Stainless Steel Watch Jubilee with Submariner Blue Dial 1603,Rolex,2599.98,127,0,FALSE,0,5
FREDERIQUE CONSTANT MENS 43MM BLACK LEATHER BAND AUTOMATIC WATCH FC330RM6B6,Frederique Constant,1158.95,127,0,FALSE,0,5
Rolex Sky Dweller Sundust Dial 18kt Everose Gold Mens Watch Ref 326935,ROLEX,35495.0,981,0,FALSE,0,29
NEW MENS TAG HEUER (CAU1110FT602,TAG Heuer,1099.0,9464,0,FALSE,0,4
2009 Rolex Submariner Wrist Watch Stainless Steel 16610 Black Face w Date,Rolex,6595.0,9464,0,FALSE,0,4
New Seiko Astron Solar GPS Chronograph Stainless Steel Mens Watch SSE011,Seiko,1015.98,811,0,TRUE,1,43
2017 ROLEX DAYDATE PRESIDENT 40MM YELLOW GOLD WRIST WATCH BOX& PAPERS 228238,Rolex,24900.0,482,0,FALSE,0,27
Rolex Datejust 116333 Gold Steel Watch for Men,Rolex,8995.0,80,0,FALSE,0,15
Tag Heuer Aquaracer Silver Dial Twotone Mens Watch WAY1120BB0930,Tag Heuer,1394.95,2180,0,TRUE,3,16
NEW Cartier Diver de Cartier Mens Automatic Watch  WSNM0005,Cartier,6799.0,2180,0,TRUE,3,16
New Omega Seamaster Planet Ocean 600M 46mm Mens Watch 2323046210,Omega,3880.0,4703,37,FALSE,0,50
New Tag Heuer Formula 1 Quartz Chronograph Mens Watch CAU1117FT6024,Tag Heuer,1360.0,444,0,FALSE,0,16
 ROLEX DATEJUST 41MM STEEL & ROSE GOLD CHOCOLATE DIAMOND DIAL WATCH 126331,Rolex,11200.0,482,0,FALSE,0,8
New Tag Heuer Formula 1 Quartz Chronograph Mens Watch CAU1115BA0858,Tag Heuer,1665.0,4703,20,FALSE,0,2
TUDOR Prince Oyster Date 74033B6247 Mens Automatic GoldStainless Watch,TUDOR,1875.0,2503,0,FALSE,0,1
New Omega Seamaster Planet Ocean 600M 42mm Mens Watch 2329242210,Omega,4775.0,4703,39,FALSE,0,25
New Omega Seamaster Planet Ocean 600M 46mm Mens Watch 2329046210,Omega,4995.0,4703,41,FALSE,0,15
Anonimo Mens Militare Black Leather Strap Swiss Automatic Watch AM100002004A01,Anonimo,1540.0,4703,41,FALSE,0,15
BREITLING CHRONOSPACE UTC A56012 STAINLESS STEEL 415MM MENS WATCH!!!,Breitling,1650.0,546,0,FALSE,0,7
Tag Heuer Watch Mens WAR211ABA0782 Carrera Automatic,TAG Heuer,1579.99,546,0,FALSE,0,7
100% AUTHENTIC NEW TUDOR PELAGOS TITANIUM BLACK DIAL MENS WATCH 25600TN,TUDOR,3590.0,9974,0,FALSE,0,32
Oris Black Dial Stainless Steel Mens Watch 75276984063TSG,Oris,1087.99,8669,37,FALSE,0,14
New Cartier Tank Solo Automatic Steel Mens Watch W5200028,Cartier,3035.0,4703,17,FALSE,0,10
New Tudor Heritage Ranger on Leather Strap Mens Watch 799100002,Tudor,2250.0,4703,20,FALSE,0,7
New Chopard Mille Miglia GTS Chronograph Mens Watch 1585713001,Chopard,5530.0,4703,38,FALSE,0,1
New Tag Heuer Carrera Heritage Automatic Mens Watch WAS2110FC6180,Tag Heuer,2170.0,4703,31,FALSE,0,8
Oris Mens Divers 65 Black Dial Stainless Steel Automatic Watch 73377074064MB,Oris,1144.0,4703,31,FALSE,0,8
Hamilton Jazzmaster Chronograph Automatic Black Dial Mens Watch H32596131,Hamilton,1093.99,8669,38,FALSE,0,6
NEW Tag Heuer Carrera Twin Time Mens Automatic Watch  WAR2012BA0723,TAG Heuer,1799.0,8669,38,FALSE,0,6
